"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo"
16210;"Brasil, 87701-010";-30,81169215;-53,898250107495;1
46236;"Brasil, 74013-040";-30,808998;-53,8904086979855;1
2843;"Brasil, 12940-000";-23,1153728;-46,645867;1
45891;"Brasil, -";-10,3333333;-53,2;1
50671;"Brasil, 49680-000";-10,21585246;-37,42140013;1
17854;"Brasil, 13614-032";-22,1884606;-47,3967124;1
32860;"Brasil, 58042-100";-20,0259457;-44,303323;1
39233;"Brasil, 22640-000";-23,0063071;-43,3102758;1
16506;"Brasil, 01040-000";-23,5412770222222;-46,6385579111111;1
44106;"Brasil, 35970-000";-19,9187601642857;-43,4747732285714;1
16871;"Brasil, 14300-000";-20,8972954571429;-47,6162920857143;1
6706;"Brasil, 25680-195";-30,5533138;-52,5270722101675;1
27914;"Brasil, 30140-092";-19,93003244;-43,9428618;1
14795;"Brasil, 17250-000";-22,07108065;-48,73391335;1
45293;"Brasil, 01303-020";-23,5483965457143;-46,6461107457143;1
14542;"Brasil, 50050-090";-8,05828244;-34,88702094;1
44296;"Brasil, 62580-000";-2,88063193333333;-40,1198613666667;1
6645;"Brasil, 85853-000";-25,5654359333333;-54,5531896333333;1
36651;"Brasil, 70345-400";-15,7537769;-47,8810983;1
19536;"Brasil, 76963-744";NA;NA;NA
27787;"Brasil, 36570-000";-20,7570483157895;-42,8774667578947;1
16898;"Brasil, 37270-000";-20,8937370758782;-45,2707824847775;1
25604;"Brasil, 22420-030";-22,984765775;-43,2049783;1
27219;"Brasil, 95555-000";-29,7371794658537;-50,0068401609756;1
43068;"Brasil, -";-10,3333333;-53,2;1
49753;"Brasil, 21061-060";-23,2210055;-45,9012132;1
33826;"Brasil, 21061-060";-23,2210055;-45,9012132;1
50128;"Brasil, 48700-000";-11,66804063;-39,02242464;1
37902;"Brasil, 69010-050";-3,1338731;-60,0233338;1
15566;"Brasil, 85863-000";-25,5331327;-54,5751846;1
15010;"Brasil, 13960-000";-22,5929393016949;-46,5233495067797;1
54776;"Brasil, 37440-000";-21,9823334;-44,93711685;1
30573;"Brasil, 45550-000";20,5645841;-103,1412189;0
29862;"Brasil, 78557-746";-9,94557;-67,8330087;1
19668;"Brasil, 18680-110";-27,6712763;-53,8056134770484;1
39363;"Brasil, 14801-290";-21,7930763;-48,1738231;1
14829;"Brasil, 18130-375";-24,2881925;-53,8484535405615;1
19526;"Brasil, 87200-246";-30,5471596;-52,5157464663637;1
6753;"Brasil, 98801-640";-28,3015337666667;-54,2599032333333;1
28053;"Brasil, 62500-000";-3,238829;-39,58795702;1
19988;"Brasil, 37500-048";-30,80063525;-53,8813579706854;1
14729;"Brasil, 28950-000";-22,7551518486486;-41,9263522621622;1
26438;"Brasil, -";-10,3333333;-53,2;1
50207;"Brasil, 65630-030";-5,09503891538461;-42,8237748384615;1
24551;"Brasil, 13601-000";-15,61050205;-56,1544917542865;1
16611;"Brasil, 13990-000";-22,1968897;-46,7571283;1
24550;"Brasil, 13970-000";-22,4210627;-46,7934452666667;1
33011;"Brasil, 27535-320";-22,460577;-44,4387097;1
15834;"Brasil, 13720-000";-21,5951136166667;-46,894525975;1
29588;"Brasil, 78963-218";-3,3011555;-60,6202876;1
14929;"Brasil, 78930-000";42,0549452;-7,800293;0
14928;"Brasil, 78987-000";NA;NA;NA
16072;"Brasil, 21031-770";-24,2923878;-53,8339430009961;1
18127;"Brasil, 19470-000";-21,7712991307692;-52,1127312076923;1
36842;"Brasil, 78580-000";-9,88400716176471;-56,0992686882353;1
19449;"Brasil, 12701-440";-24,27040465;-53,8422499087899;1
50802;"Brasil, 74003-010";2,235751;-60,9778871;0
18803;"Brasil, 77016-524";-10,2142085;-48,3273825;1
2457;"Brasil, 01038-000";-23,544196966;-46,64033681;1
6715;"Brasil, 70070-710";-15,7837498;-47,8990287;1
46494;"Brasil, 06020-194";-23,5356045666667;-46,7616698111111;1
46495;"Brasil, 55195-500";42,0549452;-7,800293;0
6584;"Brasil, 13900-460";-22,7057433;-46,7704088;1
52397;"Brasil, 44900-000";-11,3069587181818;-41,8630232;1
15086;"Brasil, 95670-000";-29,376808954;-50,878953864;1
55555;"Brasil, 14790-000";-20,3247299833333;-48,3148652333333;1
19370;"Brasil, 17516-000";-22,2243358333333;-49,9327555;1
42659;"Brasil, 07802-190";-23,328194425;-46,72714175;1
6713;"Brasil, 22270-010";-22,954116625;-43,1921182;1
